Timestamp,TruckID,State,PositionX,PositionY,Description
1762730974031,1,MANUAL,100,200,Periodic status update
1762730975035,1,MANUAL,0,0,Periodic status update
1762730976034,1,MANUAL,0,0,Periodic status update
1762730977035,1,MANUAL,0,0,Periodic status update
1762730978035,1,MANUAL,100,200,Periodic status update
1762730979035,1,MANUAL,0,0,Periodic status update
1762730980033,1,MANUAL,0,0,Periodic status update
1762730981030,1,MANUAL,0,0,Periodic status update
1762730982030,1,MANUAL,0,0,Periodic status update
1762730983030,1,MANUAL,0,0,Periodic status update
1762730984030,1,MANUAL,0,0,Periodic status update
1762730985035,1,MANUAL,0,0,Periodic status update
1762730986035,1,MANUAL,0,0,Periodic status update
1762730987035,1,MANUAL,0,0,Periodic status update
1762730988033,1,MANUAL,0,0,Periodic status update
1762730989033,1,MANUAL,0,0,Periodic status update
1762730990035,1,MANUAL,0,0,Periodic status update
1762730991035,1,MANUAL,0,0,Periodic status update
1762730992031,1,MANUAL,0,0,Periodic status update
1762730993035,1,MANUAL,100,200,Periodic status update
1762730994030,1,MANUAL,0,0,Periodic status update
1762730995033,1,MANUAL,0,0,Periodic status update
1762730996032,1,MANUAL,0,0,Periodic status update
1762730997031,1,MANUAL,0,0,Periodic status update
1762730998030,1,MANUAL,0,0,Periodic status update
1762730998645,1,TEST,100,200,Temperature increased for testing
1762730999035,1,MANUAL,0,0,Periodic status update
1762731000034,1,MANUAL,0,0,Periodic status update
1762731001035,1,MANUAL,0,0,Periodic status update
1762731002030,1,MANUAL,0,0,Periodic status update
1762731003035,1,MANUAL,0,0,Periodic status update
1762731004035,1,MANUAL,0,0,Periodic status update
1762731005035,1,MANUAL,0,0,Periodic status update
1762731006031,1,MANUAL,0,0,Periodic status update
1762731007034,1,MANUAL,0,0,Periodic status update
1762731008030,1,MANUAL,0,0,Periodic status update
1762731009034,1,MANUAL,0,0,Periodic status update
1762731010031,1,MANUAL,0,0,Periodic status update
1762731011034,1,MANUAL,0,0,Periodic status update
1762731012032,1,MANUAL,0,0,Periodic status update
1762731013032,1,MANUAL,0,0,Periodic status update
1762731014033,1,MANUAL,0,0,Periodic status update
1762731015035,1,MANUAL,0,0,Periodic status update
1762731016032,1,MANUAL,0,0,Periodic status update
1762731017035,1,MANUAL,0,0,Periodic status update
1762731018032,1,MANUAL,0,0,Periodic status update
1762731019035,1,MANUAL,0,0,Periodic status update
1762731020034,1,MANUAL,0,0,Periodic status update
1762731021034,1,MANUAL,0,0,Periodic status update
1762731022034,1,MANUAL,0,0,Periodic status update
1762731023034,1,MANUAL,0,0,Periodic status update
1762731024034,1,MANUAL,0,0,Periodic status update
1762732930433,1,MANUAL,0,0,Periodic status update
1762732931438,1,MANUAL,0,0,Periodic status update
1762732932435,1,MANUAL,0,0,Periodic status update
1762732933438,1,MANUAL,0,0,Periodic status update
1762732934438,1,MANUAL,0,0,Periodic status update
1762732935438,1,MANUAL,0,0,Periodic status update
1762732936435,1,MANUAL,0,0,Periodic status update
1762732937438,1,MANUAL,0,0,Periodic status update
1762732938438,1,MANUAL,0,0,Periodic status update
1762732939438,1,MANUAL,0,0,Periodic status update
1762732940438,1,MANUAL,0,0,Periodic status update
1762732941435,1,MANUAL,0,0,Periodic status update
1762732942438,1,MANUAL,0,0,Periodic status update
1762732943436,1,MANUAL,0,0,Periodic status update
1762732944438,1,MANUAL,0,0,Periodic status update
1762732945438,1,MANUAL,0,0,Periodic status update
1762732946434,1,MANUAL,0,0,Periodic status update
1762732947434,1,MANUAL,0,0,Periodic status update
1762732948438,1,MANUAL,0,0,Periodic status update
1762732949436,1,MANUAL,0,0,Periodic status update
1762732950438,1,MANUAL,0,0,Periodic status update
1762732951438,1,MANUAL,0,0,Periodic status update
1762732952437,1,MANUAL,0,0,Periodic status update
1762732953436,1,MANUAL,100,200,Periodic status update
1762732954438,1,MANUAL,0,0,Periodic status update
1762732955438,1,MANUAL,0,0,Periodic status update
1762732956438,1,MANUAL,100,200,Periodic status update
1762732957434,1,MANUAL,0,0,Periodic status update
1762732958435,1,MANUAL,0,0,Periodic status update
1762732959435,1,MANUAL,100,200,Periodic status update
1762732960438,1,MANUAL,0,0,Periodic status update
1762732960972,1,TEST,100,200,Temperature increased for testing
1762732961438,1,MANUAL,0,0,Periodic status update
1762732962438,1,MANUAL,0,0,Periodic status update
1762732963438,1,MANUAL,0,0,Periodic status update
1762732964438,1,MANUAL,0,0,Periodic status update
1762732965438,1,MANUAL,100,200,Periodic status update
1762732966438,1,MANUAL,0,0,Periodic status update
1762732967438,1,MANUAL,0,0,Periodic status update
1762732968438,1,MANUAL,0,0,Periodic status update
1762732969437,1,MANUAL,0,0,Periodic status update
1762732970438,1,MANUAL,0,0,Periodic status update
1762732971438,1,MANUAL,0,0,Periodic status update
1762732972438,1,MANUAL,0,0,Periodic status update
1762732973435,1,MANUAL,0,0,Periodic status update
1762732974436,1,MANUAL,0,0,Periodic status update
1762732975435,1,MANUAL,0,0,Periodic status update
1762732976434,1,MANUAL,0,0,Periodic status update
1762732977438,1,MANUAL,0,0,Periodic status update
1762732978435,1,MANUAL,0,0,Periodic status update
1762732979436,1,MANUAL,0,0,Periodic status update
1762732980434,1,MANUAL,0,0,Periodic status update
1762732981433,1,MANUAL,100,200,Periodic status update
1762732982438,1,MANUAL,0,0,Periodic status update
1762733000984,1,MANUAL,0,0,Periodic status update
1762733001986,1,MANUAL,0,0,Periodic status update
1762733002989,1,MANUAL,0,0,Periodic status update
1762733003989,1,MANUAL,0,0,Periodic status update
1762733004989,1,MANUAL,0,0,Periodic status update
1762733005989,1,MANUAL,0,0,Periodic status update
1762733006989,1,MANUAL,0,0,Periodic status update
1762733007989,1,MANUAL,100,200,Periodic status update
1762733008985,1,MANUAL,0,0,Periodic status update
1762733009989,1,MANUAL,0,0,Periodic status update
1762733010985,1,MANUAL,0,0,Periodic status update
1762733011989,1,MANUAL,0,0,Periodic status update
1762733012989,1,MANUAL,0,0,Periodic status update
1762733013988,1,MANUAL,0,0,Periodic status update
1762733014989,1,MANUAL,0,0,Periodic status update
1762733015989,1,MANUAL,0,0,Periodic status update
1762733016989,1,MANUAL,0,0,Periodic status update
1762733017989,1,MANUAL,0,0,Periodic status update
1762733018985,1,MANUAL,0,0,Periodic status update
1762733019986,1,MANUAL,0,0,Periodic status update
1762733020989,1,MANUAL,100,200,Periodic status update
1762733021989,1,MANUAL,100,200,Periodic status update
1762733022989,1,MANUAL,0,0,Periodic status update
1762733023985,1,MANUAL,0,0,Periodic status update
1762733024985,1,MANUAL,0,0,Periodic status update
1762733025989,1,MANUAL,100,200,Periodic status update
1762733026989,1,MANUAL,0,0,Periodic status update
1762733027985,1,MANUAL,0,0,Periodic status update
1762733028989,1,MANUAL,0,0,Periodic status update
1762733029989,1,MANUAL,0,0,Periodic status update
1762733030985,1,MANUAL,0,0,Periodic status update
1762733031525,1,TEST,100,200,Temperature increased for testing
1762733031985,1,MANUAL,0,0,Periodic status update
1762733032989,1,MANUAL,0,0,Periodic status update
1762733033985,1,MANUAL,0,0,Periodic status update
1762733034985,1,MANUAL,0,0,Periodic status update
1762733035989,1,MANUAL,0,0,Periodic status update
1762733036989,1,MANUAL,0,0,Periodic status update
1762733037989,1,MANUAL,0,0,Periodic status update
1762733038989,1,MANUAL,0,0,Periodic status update
1762733039988,1,MANUAL,0,0,Periodic status update
1762733040989,1,MANUAL,0,0,Periodic status update
1762733041989,1,MANUAL,0,0,Periodic status update
1762733042989,1,MANUAL,0,0,Periodic status update
1762733043989,1,MANUAL,0,0,Periodic status update
1762733044989,1,MANUAL,100,200,Periodic status update
1762733045989,1,MANUAL,0,0,Periodic status update
1762733046986,1,MANUAL,0,0,Periodic status update
1762733047989,1,MANUAL,0,0,Periodic status update
1762733048989,1,MANUAL,100,200,Periodic status update
1762733049989,1,MANUAL,0,0,Periodic status update
1762733050989,1,MANUAL,0,0,Periodic status update
1762733051988,1,MANUAL,0,0,Periodic status update
1762733052985,1,MANUAL,0,0,Periodic status update
1762733053989,1,MANUAL,0,0,Periodic status update
1762733054985,1,MANUAL,0,0,Periodic status update
1762733055988,1,MANUAL,0,0,Periodic status update
1762733056985,1,MANUAL,0,0,Periodic status update
1762733057989,1,MANUAL,0,0,Periodic status update
1762733058989,1,MANUAL,0,0,Periodic status update
1762733059988,1,MANUAL,0,0,Periodic status update
1762733060987,1,MANUAL,0,0,Periodic status update
1762733061563,1,TEST,100,200,Temperature increased for testing
1762733061989,1,MANUAL,0,0,Periodic status update
1762733062989,1,MANUAL,100,200,Periodic status update
1762733063985,1,MANUAL,0,0,Periodic status update
1762733064989,1,MANUAL,0,0,Periodic status update
1762733065985,1,MANUAL,0,0,Periodic status update
1762733066989,1,MANUAL,0,0,Periodic status update
1762733067989,1,MANUAL,0,0,Periodic status update
1762733068989,1,MANUAL,0,0,Periodic status update
1762733069989,1,MANUAL,0,0,Periodic status update
1762733070985,1,MANUAL,0,0,Periodic status update
1762733071985,1,MANUAL,0,0,Periodic status update
1762733072988,1,MANUAL,0,0,Periodic status update
1762733073989,1,MANUAL,0,0,Periodic status update
1762733074989,1,MANUAL,0,0,Periodic status update
1762733075989,1,MANUAL,0,0,Periodic status update
1762733076988,1,MANUAL,0,0,Periodic status update
1762733077989,1,MANUAL,100,200,Periodic status update
1762733078986,1,MANUAL,0,0,Periodic status update
1762733079989,1,MANUAL,0,0,Periodic status update
1762733080988,1,MANUAL,0,0,Periodic status update
1762733081989,1,MANUAL,0,0,Periodic status update
1762733082986,1,MANUAL,0,0,Periodic status update
1762733083984,1,MANUAL,0,0,Periodic status update
1762733084989,1,MANUAL,0,0,Periodic status update
1762733085987,1,MANUAL,0,0,Periodic status update
1762733086989,1,MANUAL,0,0,Periodic status update
1762733087987,1,MANUAL,0,0,Periodic status update
1762733088986,1,MANUAL,0,0,Periodic status update
1762733089989,1,MANUAL,0,0,Periodic status update
1762733090986,1,MANUAL,0,0,Periodic status update
1762733091607,1,TEST,100,200,Temperature increased for testing
1762733091984,1,MANUAL,0,0,Periodic status update
1762733092989,1,MANUAL,100,200,Periodic status update
1762733093989,1,MANUAL,0,0,Periodic status update
1762733094984,1,MANUAL,0,0,Periodic status update
1762733095985,1,MANUAL,0,0,Periodic status update
1762733096989,1,MANUAL,0,0,Periodic status update
1762733097985,1,MANUAL,0,0,Periodic status update
1762733098989,1,MANUAL,0,0,Periodic status update
1762733099986,1,MANUAL,0,0,Periodic status update
1762733100989,1,MANUAL,0,0,Periodic status update
1762733101989,1,MANUAL,0,0,Periodic status update
1762733102987,1,MANUAL,0,0,Periodic status update
1762733103989,1,MANUAL,100,200,Periodic status update
1762733104989,1,MANUAL,0,0,Periodic status update
1762733105985,1,MANUAL,0,0,Periodic status update
1762733106988,1,MANUAL,0,0,Periodic status update
1762733107988,1,MANUAL,100,200,Periodic status update
1762733108989,1,MANUAL,0,0,Periodic status update
1762733109988,1,MANUAL,0,0,Periodic status update
1762733110989,1,MANUAL,0,0,Periodic status update
1762733111989,1,MANUAL,0,0,Periodic status update
1762733112988,1,MANUAL,0,0,Periodic status update
1762733113986,1,MANUAL,0,0,Periodic status update
1762733114988,1,MANUAL,0,0,Periodic status update
1762733115989,1,MANUAL,0,0,Periodic status update
1762733116988,1,MANUAL,0,0,Periodic status update
1762733117989,1,MANUAL,100,200,Periodic status update
1762733118986,1,MANUAL,0,0,Periodic status update
1762733119989,1,MANUAL,100,200,Periodic status update
1762733147925,1,MANUAL,0,0,Periodic status update
1762733148930,1,MANUAL,0,0,Periodic status update
1762733149927,1,MANUAL,0,0,Periodic status update
1762733150927,1,MANUAL,0,0,Periodic status update
1762733151930,1,MANUAL,0,0,Periodic status update
1762733152929,1,MANUAL,100,200,Periodic status update
1762733153930,1,MANUAL,0,0,Periodic status update
1762733154926,1,MANUAL,0,0,Periodic status update
1762733155930,1,MANUAL,0,0,Periodic status update
1762733156930,1,MANUAL,0,0,Periodic status update
1762733157930,1,MANUAL,0,0,Periodic status update
1762733158930,1,MANUAL,0,0,Periodic status update
1762733159927,1,MANUAL,0,0,Periodic status update
1762733160929,1,MANUAL,0,0,Periodic status update
1762733161930,1,MANUAL,0,0,Periodic status update
1762733162929,1,MANUAL,0,0,Periodic status update
1762733163927,1,MANUAL,0,0,Periodic status update
1762733164930,1,MANUAL,0,0,Periodic status update
1762733165929,1,MANUAL,0,0,Periodic status update
1762733166930,1,MANUAL,0,0,Periodic status update
1762733167930,1,MANUAL,0,0,Periodic status update
1762733168925,1,MANUAL,0,0,Periodic status update
1762733169930,1,MANUAL,0,0,Periodic status update
1762733170927,1,MANUAL,0,0,Periodic status update
1762733171930,1,MANUAL,0,0,Periodic status update
1762733172927,1,MANUAL,0,0,Periodic status update
1762733173928,1,MANUAL,0,0,Periodic status update
1762733174930,1,MANUAL,0,0,Periodic status update
1762733175926,1,MANUAL,100,200,Periodic status update
1762733176929,1,MANUAL,0,0,Periodic status update
1762733177928,1,MANUAL,0,0,Periodic status update
1762733178451,1,TEST,100,200,Temperature increased for testing
1762733178927,1,MANUAL,0,0,Periodic status update
1762733179927,1,MANUAL,0,0,Periodic status update
1762733353278,1,MANUAL,0,0,Periodic status update
1762733354283,1,MANUAL,0,0,Periodic status update
1762733355282,1,MANUAL,0,0,Periodic status update
1762733356280,1,MANUAL,0,0,Periodic status update
1762733357283,1,MANUAL,0,0,Periodic status update
1762733358281,1,MANUAL,0,0,Periodic status update
1762733359282,1,MANUAL,0,0,Periodic status update
1762733360280,1,MANUAL,0,0,Periodic status update
1762733361283,1,MANUAL,0,0,Periodic status update
1762733362279,1,MANUAL,0,0,Periodic status update
1762733363283,1,MANUAL,0,0,Periodic status update
1762733364283,1,MANUAL,0,0,Periodic status update
1762733365279,1,MANUAL,100,200,Periodic status update
1762733366283,1,MANUAL,0,0,Periodic status update
1762733367283,1,MANUAL,0,0,Periodic status update
1762733368283,1,MANUAL,0,0,Periodic status update
1762733369280,1,MANUAL,0,0,Periodic status update
1762733370279,1,MANUAL,0,0,Periodic status update
1762733371283,1,MANUAL,0,0,Periodic status update
1762733372279,1,MANUAL,0,0,Periodic status update
1762733373283,1,MANUAL,0,0,Periodic status update
1762733374279,1,MANUAL,0,0,Periodic status update
1762733375283,1,MANUAL,100,200,Periodic status update
1762733376283,1,MANUAL,0,0,Periodic status update
1762733377280,1,MANUAL,0,0,Periodic status update
1762733378281,1,MANUAL,0,0,Periodic status update
1762733379280,1,MANUAL,0,0,Periodic status update
1762733380282,1,MANUAL,0,0,Periodic status update
1762733381282,1,MANUAL,0,0,Periodic status update
1762733382278,1,MANUAL,0,0,Periodic status update
1762733383279,1,MANUAL,0,0,Periodic status update
1762733383817,1,TEST,100,200,Temperature increased for testing
1762733384280,1,MANUAL,0,0,Periodic status update
1762733385280,1,MANUAL,0,0,Periodic status update
1762733407111,1,MANUAL,0,0,Periodic status update
1762733408116,1,MANUAL,0,0,Periodic status update
1762733409116,1,MANUAL,100,200,Periodic status update
1762733410116,1,MANUAL,0,0,Periodic status update
1762733411114,1,MANUAL,0,0,Periodic status update
1762733412116,1,MANUAL,0,0,Periodic status update
1762733413116,1,MANUAL,0,0,Periodic status update
1762733414116,1,MANUAL,0,0,Periodic status update
1762733415116,1,MANUAL,100,200,Periodic status update
1762733416116,1,MANUAL,0,0,Periodic status update
1762733417116,1,MANUAL,0,0,Periodic status update
1762733418114,1,MANUAL,0,0,Periodic status update
1762733419114,1,MANUAL,0,0,Periodic status update
1762733420116,1,MANUAL,0,0,Periodic status update
1762733421112,1,MANUAL,0,0,Periodic status update
1762733422114,1,MANUAL,0,0,Periodic status update
1762733423116,1,MANUAL,0,0,Periodic status update
1762733424116,1,MANUAL,0,0,Periodic status update
1762733425116,1,MANUAL,0,0,Periodic status update
1762733426116,1,MANUAL,0,0,Periodic status update
1762733427112,1,MANUAL,0,0,Periodic status update
1762733428114,1,MANUAL,0,0,Periodic status update
1762733429116,1,MANUAL,0,0,Periodic status update
1762733430112,1,MANUAL,0,0,Periodic status update
1762733431114,1,MANUAL,0,0,Periodic status update
1762733432114,1,MANUAL,0,0,Periodic status update
1762733433116,1,MANUAL,0,0,Periodic status update
1762733434115,1,MANUAL,0,0,Periodic status update
1762733435116,1,MANUAL,0,0,Periodic status update
1762733436116,1,MANUAL,0,0,Periodic status update
1762733437116,1,MANUAL,0,0,Periodic status update
1762733437649,1,TEST,100,200,Temperature increased for testing
1762733438116,1,MANUAL,0,0,Periodic status update
1762733439116,1,MANUAL,0,0,Periodic status update
1762733440116,1,MANUAL,0,0,Periodic status update
1762733441116,1,MANUAL,0,0,Periodic status update
1762733442116,1,MANUAL,100,200,Periodic status update
1762733443116,1,MANUAL,100,200,Periodic status update
1762733444116,1,MANUAL,0,0,Periodic status update
1762733445112,1,MANUAL,0,0,Periodic status update
1762733446116,1,MANUAL,0,0,Periodic status update
1762733447116,1,MANUAL,0,0,Periodic status update
1762733448113,1,MANUAL,0,0,Periodic status update
1762733449116,1,MANUAL,0,0,Periodic status update
1762733450114,1,MANUAL,0,0,Periodic status update
1762733451116,1,MANUAL,100,200,Periodic status update
1762733452116,1,MANUAL,0,0,Periodic status update
1762733453116,1,MANUAL,0,0,Periodic status update
1762733454116,1,MANUAL,0,0,Periodic status update
1762733455116,1,MANUAL,0,0,Periodic status update
1762733456116,1,MANUAL,0,0,Periodic status update
1762733457116,1,MANUAL,0,0,Periodic status update
1762733458116,1,MANUAL,0,0,Periodic status update
1762733459116,1,MANUAL,100,200,Periodic status update
1762733460116,1,MANUAL,0,0,Periodic status update
1762733461116,1,MANUAL,0,0,Periodic status update
1762733462114,1,MANUAL,0,0,Periodic status update
1762733463115,1,MANUAL,0,0,Periodic status update
1762733464116,1,MANUAL,0,0,Periodic status update
1762733465116,1,MANUAL,0,0,Periodic status update
1762733466116,1,MANUAL,0,0,Periodic status update
1762733467116,1,MANUAL,0,0,Periodic status update
1762733467688,1,TEST,100,200,Temperature increased for testing
1762733468113,1,MANUAL,0,0,Periodic status update
1762733469116,1,MANUAL,0,0,Periodic status update
1762733470114,1,MANUAL,0,0,Periodic status update
1762733471114,1,MANUAL,0,0,Periodic status update
1762733472116,1,MANUAL,0,0,Periodic status update
1762733473116,1,MANUAL,0,0,Periodic status update
1762733474113,1,MANUAL,0,0,Periodic status update
1762733475115,1,MANUAL,0,0,Periodic status update
1762733476114,1,MANUAL,0,0,Periodic status update
1762733477116,1,MANUAL,0,0,Periodic status update
1762733478113,1,MANUAL,0,0,Periodic status update
1762733658920,1,MANUAL,0,0,Periodic status update
1762733659925,1,MANUAL,0,0,Periodic status update
1762733660925,1,MANUAL,100,200,Periodic status update
1762733661922,1,MANUAL,0,0,Periodic status update
1762733662925,1,MANUAL,0,0,Periodic status update
1762733663925,1,MANUAL,0,0,Periodic status update
1762733664922,1,MANUAL,0,0,Periodic status update
1762733665925,1,MANUAL,0,0,Periodic status update
1762733666925,1,MANUAL,0,0,Periodic status update
1762733667925,1,MANUAL,0,0,Periodic status update
1762733668924,1,MANUAL,0,0,Periodic status update
1762733669925,1,MANUAL,0,0,Periodic status update
1762733670925,1,MANUAL,100,200,Periodic status update
1762733671922,1,MANUAL,100,200,Periodic status update
1762733672925,1,MANUAL,0,0,Periodic status update
1762733673925,1,MANUAL,0,0,Periodic status update
1762733674921,1,MANUAL,0,0,Periodic status update
1762733675922,1,MANUAL,0,0,Periodic status update
1762733676925,1,MANUAL,100,200,Periodic status update
1762733677922,1,MANUAL,0,0,Periodic status update
1762733678922,1,MANUAL,0,0,Periodic status update
1762733679922,1,MANUAL,0,0,Periodic status update
1762733680924,1,MANUAL,0,0,Periodic status update
1762733681925,1,MANUAL,0,0,Periodic status update
1762733682925,1,MANUAL,0,0,Periodic status update
1762733683922,1,MANUAL,0,0,Periodic status update
1762733684925,1,MANUAL,0,0,Periodic status update
1762733685925,1,MANUAL,100,200,Periodic status update
1762733686925,1,MANUAL,0,0,Periodic status update
1762733687925,1,MANUAL,0,0,Periodic status update
1762733688924,1,MANUAL,0,0,Periodic status update
1762733689456,1,TEST,100,200,Temperature increased for testing
1762733689925,1,MANUAL,0,0,Periodic status update
1762733690922,1,MANUAL,0,0,Periodic status update
1762733691925,1,MANUAL,100,200,Periodic status update
1762733692925,1,MANUAL,0,0,Periodic status update
1762733693925,1,MANUAL,0,0,Periodic status update
1762733694925,1,MANUAL,0,0,Periodic status update
1762733695921,1,MANUAL,0,0,Periodic status update
1762733696922,1,MANUAL,0,0,Periodic status update
1762733697925,1,MANUAL,0,0,Periodic status update
1762733698925,1,MANUAL,0,0,Periodic status update
1762733699925,1,MANUAL,0,0,Periodic status update
1762733700923,1,MANUAL,0,0,Periodic status update
1762733701922,1,MANUAL,0,0,Periodic status update
1762733702925,1,MANUAL,0,0,Periodic status update
1762733703925,1,MANUAL,0,0,Periodic status update
1762733704925,1,MANUAL,0,0,Periodic status update
1762733705925,1,MANUAL,0,0,Periodic status update
1762733706924,1,MANUAL,0,0,Periodic status update
1762733707924,1,MANUAL,0,0,Periodic status update
1762733708922,1,MANUAL,0,0,Periodic status update
1762733709925,1,MANUAL,0,0,Periodic status update
1762733710922,1,MANUAL,0,0,Periodic status update
1762733711922,1,MANUAL,0,0,Periodic status update
1762733712924,1,MANUAL,0,0,Periodic status update
1762733713925,1,MANUAL,0,0,Periodic status update
1762733714922,1,MANUAL,0,0,Periodic status update
1762733715925,1,MANUAL,0,0,Periodic status update
1762733716925,1,MANUAL,0,0,Periodic status update
1762733731468,1,MANUAL,0,0,Periodic status update
1762733732473,1,MANUAL,0,0,Periodic status update
1762733733472,1,MANUAL,0,0,Periodic status update
1762733734469,1,MANUAL,0,0,Periodic status update
1762733735472,1,MANUAL,100,200,Periodic status update
1762733736473,1,MANUAL,0,0,Periodic status update
1762733737472,1,MANUAL,0,0,Periodic status update
1762733738472,1,MANUAL,0,0,Periodic status update
1762733739471,1,MANUAL,0,0,Periodic status update
1762733740469,1,MANUAL,0,0,Periodic status update
1762733741472,1,MANUAL,0,0,Periodic status update
1762733742472,1,MANUAL,0,0,Periodic status update
1762733743469,1,MANUAL,0,0,Periodic status update
1762733744472,1,MANUAL,0,0,Periodic status update
1762733745469,1,MANUAL,0,0,Periodic status update
1762733746470,1,MANUAL,0,0,Periodic status update
1762733747469,1,MANUAL,0,0,Periodic status update
1762733748469,1,MANUAL,0,0,Periodic status update
1762733749472,1,MANUAL,0,0,Periodic status update
1762733750472,1,MANUAL,0,0,Periodic status update
1762733751468,1,MANUAL,0,0,Periodic status update
1762733752469,1,MANUAL,0,0,Periodic status update
1762733753469,1,MANUAL,0,0,Periodic status update
1762733754472,1,MANUAL,0,0,Periodic status update
1762733755472,1,MANUAL,0,0,Periodic status update
1762733756472,1,MANUAL,0,0,Periodic status update
1762733757472,1,MANUAL,0,0,Periodic status update
1762733758472,1,MANUAL,100,200,Periodic status update
1762733759472,1,MANUAL,0,0,Periodic status update
1762733760472,1,MANUAL,0,0,Periodic status update
1762733761472,1,MANUAL,0,0,Periodic status update
1762733762009,1,TEST,100,200,Temperature increased for testing
1762733762472,1,MANUAL,100,200,Periodic status update
1762733763472,1,MANUAL,100,200,Periodic status update
1762733764472,1,MANUAL,0,0,Periodic status update
1762733765472,1,MANUAL,0,0,Periodic status update
1762733766472,1,MANUAL,0,0,Periodic status update
1762733767472,1,MANUAL,100,200,Periodic status update
1762733768472,1,MANUAL,0,0,Periodic status update
1762733769472,1,MANUAL,100,200,Periodic status update
1762733770472,1,MANUAL,0,0,Periodic status update
1762733771472,1,MANUAL,0,0,Periodic status update
1762733772472,1,MANUAL,0,0,Periodic status update
1762733773469,1,MANUAL,0,0,Periodic status update
